,0
0,0.0006638435282378274
1,-0.083170237611702
2,0.07618575675335337
3,0.06800695462634662
4,0.11019672978261218
5,0.1894453678296523
6,0.03347717600049078
7,-0.08954698952020207
8,-0.0578870300562819
9,-0.027173354669242734
10,-0.035845605394780815
11,0.1386952377775977
12,0.05146535025233376
13,0.21441554290159623
14,0.22129828292915718
15,0.21770707884866522
16,0.07375514976536611
17,0.15800152211701998
18,0.21218390915171656
19,0.22877952663285622
20,0.15819486419455858
21,0.10111372839990292
22,0.1591086019569048
23,0.04858988483729742
24,0.16697758505562227
25,0.21742690673133072
26,0.23898646880903324
27,0.16119799505774376
28,0.20847819748564553
29,0.18717534281284157
30,0.20854519028414112
31,0.1616371440655787
32,0.22313097701549908
33,0.16798606274689623
34,0.17803995105288342
35,0.14317180436025323
36,0.14007702773421665
37,0.18319453766032
38,0.19306295634012793
39,0.10028122121969944
40,0.12049942661705672
41,0.18000540001070678
42,0.14433115150112155
43,0.1560514208618113
44,0.13222975980757776
45,0.05565413809828297
46,0.05251959359116112
47,0.0637658140387467
48,0.0598977448010616
49,0.06696667759882084
50,0.008768480034091529
51,-0.0013047517960656542
52,-0.038227452299015245
53,-0.01623556253381643
54,0.019343305851557958
55,0.017836686709389152
56,-0.04690759536383411
57,-0.024532957344902025
58,-0.06822054345520513
59,-0.08275589602170504
60,-0.12010822127790469
61,-0.10895424360859755
62,-0.19853577052934399
63,-0.13956104360198507
64,-0.1635780094866109
65,-0.1784804483374858
66,-0.15061557259363115
67,-0.20537265291983123
68,-0.15193507026289066
69,-0.15116584562178714
70,-0.11728745817861846
71,-0.1851433701941483
72,-0.11321109315432262
73,-0.2742198417091376
74,-0.18010555800057468
75,-0.20763127240821322
76,-0.1394670490274123
77,-0.2140522530445132
78,-0.33403027112850914
79,-0.24339794871393503
80,-0.2695426386120488
81,-0.14843027912516488
82,-0.1612034186818758
83,-0.06493729792946003
84,-0.2189817986187853
85,-0.3024958420423854
86,-0.21768733350600933
87,-0.1276993816415339
88,-0.026410763714002392
89,-0.11645255118038544
90,-0.1264444411644428
91,-0.1387605229063949
92,-0.1341772901410496
93,-0.06949835659679093
94,0.03371081141705761
95,-0.05012543727035966
96,0.03981560436944342
97,0.07334196389926553
98,0.03570188527750623
99,0.021492194406000018
100,0.07559846897648113
101,-0.07447638085531684
102,0.01655576425389677
103,0.12249353858790202
104,0.07426423785081372
105,-0.014208973090010934
106,-0.011703310873692049
107,0.08912426402121378
108,0.13960023297648783
109,0.11883735770441994
110,-0.06105213114130068
111,-0.0606139506057656
112,0.09288938220374028
113,0.08515738321146468
114,0.12329852933181018
115,0.20896584624695314
116,0.11499769198004071
117,0.03639173676862361
118,0.10332003081475066
119,0.2808972543520106
120,0.23513180649223556
121,0.21853882023950646
122,0.11461079595044588
123,0.2276940997316945
124,0.23950447789459822
125,0.18108064738588556
126,0.15883393696658776
127,0.1600713224251049
128,0.205391056077545
129,0.19602911546612511
130,0.1889890413641317
131,0.13129078625623639
132,0.21544492562322828
133,0.22823675031419016
134,0.25280719300353055
135,0.18718788201312556
136,0.14325488463416314
137,0.1805986693876872
138,0.10583491363730656
139,0.1567536414101752
140,0.12770801321715108
141,0.1111290399837467
142,0.17190388570999404
143,0.13050277636551116
144,0.12190420756475587
145,0.11762236741380451
146,0.11734266619829684
147,0.047774655920599506
148,0.0182888921704416
149,0.01940288685920284
150,0.041480071566121234
151,0.04710939799948403
152,-0.006905464159852514
153,-0.04794595314052939
154,-0.008921248748704723
155,-0.02041271901952327
156,-0.06510748273145374
157,-0.07512165469317017
158,-0.05492463351689006
159,-0.10679044445026474
160,-0.11892980061024669
161,-0.0672118828963969
162,-0.05894678901319739
163,-0.09605596064480283
164,-0.1502626377060699
165,-0.12587294906241478
166,-0.19095824194470032
167,-0.1553592119640117
168,-0.22678383014898512
169,-0.21208990308299358
170,-0.1966970986906478
171,-0.15617754021670374
172,-0.21143442424998
173,-0.2258495873102042
174,-0.2612921781475307
175,-0.17914387065893494
176,-0.19883688274133915
177,-0.18839416659365466
178,-0.3197363421169048
179,-0.19957813626038887
180,-0.02700644126625736
181,-0.18150025252005583
182,-0.14904525166172178
183,-0.20115665226269538
184,-0.20822214323167362
185,-0.2166460757011639
186,-0.1719239397050913
187,-0.21285320058347418
188,-0.06741360954014519
189,-0.09952388720716297
190,-0.137047796925552
191,-0.06197779199984626
192,-0.15561325628158826
193,-0.10401183998982484
194,-0.023022404318455907
195,-0.035828525564189924
196,-0.033106856688333526
197,-0.11155185060948183
198,-0.008474299727442408
199,0.01610222002896523
200,-0.045098278714624906
201,0.07963966923713134
202,0.04773097084124503
203,0.12177124957104617
204,-0.04453934865727074
205,-0.033904571550793385
206,0.04437493663495978
207,0.07221503983984727
208,0.06662980886062757
209,0.04781966297877792
210,0.08356289173291623
211,0.08239116008804934
212,-0.03335553083915698
213,0.07300925097898175
214,0.11286242426884066
215,0.17997819791093966
216,0.06467093839986679
217,0.12365996440419455
218,0.21877329699654022
219,0.21581577672131572
220,0.15628235320972164
221,0.22485800422605154
222,0.2326091462470417
223,0.19886206868245693
224,0.19770475233722506
225,0.14435280734956654
226,0.12263654626209719
227,0.18336867535535648
228,0.2216676830888975
229,0.16113688618583305
230,0.23452811530249862
231,0.20781718398537355
232,0.1850231330331068
233,0.19127048014638848
234,0.15765703878415943
235,0.16816661457286633
236,0.18912068856626033
237,0.22985330064310613
238,0.13904392288855436
239,0.10090880588357636
240,0.09179259118014474
241,0.18383845754071598
242,0.18624808167694373
243,0.13562020628215748
244,0.06713713934316605
245,0.02493998253547861
246,0.08390832742685737
247,0.05600619080203384
248,0.12047084149400646
249,0.09987438485352383
250,0.025587871998347656
251,0.04227004812042329
252,0.06753545279085114
253,-0.006054284529340591
254,0.0027670493899970474
255,-0.09229964911576388
256,-0.08960058357717197
257,0.006315126064778613
258,-0.07199430192626884
259,-0.08072545499299763
260,-0.1512742847677959
261,-0.1285633437777969
262,-0.08961238671555882
263,-0.07440258822405015
264,-0.16650397062902356
265,-0.1561659585895669
266,-0.13988178179563404
267,-0.16088738926323393
268,-0.21209752789318903
269,-0.16753856660149236
270,-0.1761081074018283
271,-0.13283353358971228
272,-0.22938180102223257
273,-0.25307220607017306
274,-0.2887519814920085
275,-0.15232197575339684
276,-0.16654230756770988
277,-0.19607952654914107
278,-0.03462048464685199
279,-0.20854994061989263
280,-0.17293501021300448
281,-0.19532293750832946
282,-0.23133442203091015
283,-0.16046998207295748
284,-0.20954383332553733
285,-0.16878673575911138
286,-0.14942997373513986
287,-0.14215442591698807
288,-0.1660226922265189
289,-0.1554886836844901
290,-0.0850129035771263
291,-0.184907394143351
292,-0.10431766867127859
293,-0.12598074733217832
294,-0.10721399061302928
295,-0.016420413417170023
296,0.005697391922470301
297,0.0360247963018413
298,0.0017423597298117247
299,-0.06997494354551527
